Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,-0.4917072854146909,-4.010454835515702,-0.19551942568334368,4.040485619605787,361117.0,6922416.0,-90.1252556861849
1,-0.7188549420570212,-3.9850228631962636,-0.07393230525099881,4.049340643600727,361112.0,6922415.0,-90.21011123187999
2,-0.8338295842801813,-4.043111901514749,0.031932845677822286,4.128198835302276,361108.0,6922414.0,-90.29757320467952
3,-0.70409409078934,-4.086573460690488,0.024668332402661974,4.14678563929995,361104.0,6922414.0,-90.30469559192076
4,-0.5254025459746003,-3.994895786320285,0.0032662670558991636,4.029297727753083,361100.0,6922413.0,-90.37139462855534
5,-0.514985614853174,-3.8596292835609347,0.031507063756244236,3.8938346639305057,361096.0,6922413.0,-90.3850415717323
6,-0.7615824590277498,-4.197224169522542,0.03380483618514063,4.26575885055906,361092.0,6922412.0,-90.46458919121335
7,-0.962044837494318,-4.248726280081883,0.0011715638819964624,4.356283424251446,361088.0,6922412.0,-90.5246161630857
8,-0.9772299027389408,-4.224699136041181,0.028515762466412298,4.336249655275197,361083.0,6922411.0,-90.59791411629973
9,-0.8039808301509765,-4.0706354709391235,0.08005191845448678,4.149272021995911,361079.0,6922410.0,-90.67723796920816
10,-0.6720142854553046,-3.900312923672118,0.06688172896645028,3.9577827255193974,361075.0,6922409.0,-90.74439279852265
11,-0.7551005983330583,-3.8425469629305553,-0.020497770091019163,3.916036781738621,361072.0,6922409.0,-90.7492454167081
12,-0.9152618445372696,-3.8874629109500347,-0.11266045970884875,3.9937541396633174,361067.0,6922408.0,-90.86995025235544
13,-1.0329374571358585,-4.308514529539025,-0.12148533387893679,4.430604613549169,361063.0,6922407.0,-90.90859496432482
14,-0.9063421049754083,-4.225941953725396,-0.02188123853976265,4.32204134726956,361059.0,6922407.0,-90.95601127387683
15,-0.7562599694102801,-4.09414682261513,0.052827305191343044,4.163408140749835,361055.0,6922406.0,-91.02937146159024
16,-0.7160356208993335,-4.023520502385054,0.050068230371600464,4.086737603946401,361050.0,6922405.0,-91.10531727226272
17,-0.8591753608618546,-4.06668973748765,0.03737591499525905,4.156458555272682,361047.0,6922405.0,-91.09901140442851
18,-1.0281340723318522,-4.090249653741012,0.04644623285727789,4.217487628982229,361042.0,6922404.0,-91.22774451217174
19,-0.9975860310422036,-3.983293427738772,0.0016724792343225658,4.106312752433433,361039.0,6922403.0,-91.25937896956377
20,-0.8380991716140329,-3.8831623833902995,-0.07828049319655861,3.972576030391056,361034.0,6922403.0,-91.31901837375382
21,-0.7343942712495277,-3.862723371607899,-0.07456190601622836,3.93191642729217,361030.0,6922401.0,-91.4081618408664
22,-0.775101496375612,-3.9051841190826053,0.015539954937260347,3.981362245967917,361026.0,6922401.0,-91.4562399525758
23,-1.0042753618529332,-4.3026246019098835,0.09146074400611326,4.418274263486256,361022.0,6922400.0,-91.51203279223868
24,-1.0551779695524033,-4.186060395875302,0.05004307765926086,4.317001527141775,361018.0,6922400.0,-91.5593994910133
25,-0.9340452882176464,-4.067692728451675,-0.047825479437335616,4.173555406789302,361013.0,6922398.0,-91.64313559610875
26,-0.7976043518667097,-4.043531267568596,-0.058123667913783095,4.121446082859948,361010.0,6922398.0,-91.656103097699
27,-0.8074076169583577,-4.107105334410335,0.034512561629505,4.185716341065672,361006.0,6922397.0,-91.71746355938645
28,-0.9084872350308615,-4.106204308955057,0.07414152478204983,4.205503879809778,361001.0,6922397.0,-91.77844947066811
29,-0.9492438320739893,-3.9741347499830226,-0.013018329110536797,4.085928396797126,360997.0,6922396.0,-91.83029657433468
30,-0.9028975889003732,-3.8611977092000416,-0.08119567808247297,3.965358975625505,360993.0,6922395.0,-91.91513300809153
31,-0.8414575129086188,-3.8595464346803965,-0.0047185773463809255,3.9502087827714267,360989.0,6922394.0,-91.94738822950285
32,-0.8373658968602626,-3.9241147340658245,0.10279466348581678,4.0124628461005205,360986.0,6922394.0,-91.97241050681542
