Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,-0.020314568082540063,0.6377237265087388,-0.08236930571499101,0.6380472028216821,359883.0,6919793.0,-664.2671600780767
1,0.015644453624190646,0.6277925053063882,-0.004464011816409652,0.6279874032558861,359883.0,6919792.0,-664.2612294007278
2,0.19283643271592155,0.5907316123375494,0.06426625786680518,0.6214094685451155,359884.0,6919793.0,-664.2511078564406
3,0.3909419438059558,0.5587826427245091,0.09632688984289928,0.6819630820190823,359884.0,6919793.0,-664.2475809368505
4,0.4888926951934991,0.5591595232954205,0.0876865185313136,0.7427485711231799,359885.0,6919793.0,-664.2425390503618
5,0.44664140737040725,0.5914849192640759,0.050096846891847235,0.7411767376912529,359887.0,6919794.0,-664.236546567186
6,0.32113125348587346,0.628413444223952,0.004277289303402654,0.7057115124800064,359887.0,6919794.0,-664.232296418589
7,0.211307506342564,0.6383524276998287,-0.0291455978358357,0.6724170463239147,359887.0,6919794.0,-664.2275956604439
8,0.18175478800003475,0.6112303237568995,-0.04103238573584633,0.6376811990649416,359888.0,6919795.0,-664.2188655818011
9,0.22503759456412809,0.5664264193092095,-0.034890113933983,0.6094922538135011,359889.0,6919795.0,-664.2106122014357
10,0.28495784321421525,0.5370882494480611,-0.019159513839710485,0.6080006250855997,359890.0,6919795.0,-664.2051809714955
11,0.3119342775789846,0.544361273900904,-0.0021729991560448525,0.6274011396640415,359889.0,6919795.0,-664.2036512801726
12,0.30018900849427155,0.5823354509630008,0.00911560089029706,0.6551549574482782,359890.0,6919795.0,-664.198067373251
13,0.2792384426720673,0.6245732202296495,0.010245383237901251,0.6841533565611994,359891.0,6919796.0,-664.1898148072816
14,0.2755627912029013,0.6451154150090588,0.00038362264398017487,0.7015046333259988,359891.0,6919796.0,-664.1870701082865
15,0.2848378485214198,0.6361868561816664,-0.01626835046749875,0.6970411149484824,359892.0,6919797.0,-664.1764903856517
16,0.2806895899630035,0.6095915309924749,-0.030139959008934625,0.6711098871059408,359892.0,6919796.0,-664.1735941845902
17,0.24857563033037877,0.5836315450687835,-0.030104035540290397,0.634362376243674,359893.0,6919797.0,-664.167154462607
18,0.2087582843432756,0.5688609895923946,-0.010588417903392155,0.6059561426060358,359894.0,6919797.0,-664.1591934878068
19,0.20296419717851677,0.5645390117979332,0.022669260900372024,0.5999156283829475,359895.0,6919797.0,-664.1522313687072
20,0.2547798788327782,0.5659932025673697,0.053592090110399226,0.6206940405791832,359895.0,6919798.0,-664.1464686712727
21,0.34070787174641737,0.572850029775509,0.06507561185259192,0.6665125733876104,359896.0,6919798.0,-664.1399587200343
22,0.40161161260584777,0.5887152649438576,0.04963522601578063,0.7126552817160523,359896.0,6919798.0,-664.1386129122735
23,0.3885633439040248,0.6129288991633075,0.0131228742945666,0.7257157209647739,359897.0,6919799.0,-664.1305569390673
24,0.30486739493426285,0.6343609584700971,-0.02846103777962128,0.7038167049204672,359897.0,6919798.0,-664.127640710813
25,0.20692043261988147,0.6363071553596455,-0.05668396731948633,0.6691060165605172,359898.0,6919799.0,-664.1215018681856
26,0.1612223860593076,0.6107712417360744,-0.060969066098905955,0.6316915129226311,359899.0,6919800.0,-664.1098418071253
27,0.19284980073280167,0.5695848108052814,-0.04369195495506517,0.6013467405272681,359900.0,6919800.0,-664.102965769848
28,0.2684326139115001,0.5400203095405232,-0.015310077452141968,0.6030572136436168,359900.0,6919800.0,-664.0983041958741
29,0.3272031995584257,0.5452342087710349,0.013010609706469722,0.6358791364838505,359900.0,6919799.0,-664.0957380914203
30,0.3323329529757757,0.584430832277576,0.03265485607137464,0.6723128656736084,359901.0,6919800.0,-664.0911284201786
31,0.29787242411657644,0.630365814263314,0.03858287906311375,0.6972008611877473,359901.0,6919800.0,-664.0856248699001
32,0.26899317974312,0.6487246159349525,0.029493154750994677,0.702282676753646,359902.0,6919801.0,-664.0763172953548
