Num,Speed X,Speed Y,Speed Z,Total Speed,Lo,La,Heading(Deg)
0,-0.13853948442829278,0.6977287976405933,0.0844019663601614,0.7113498884533863,358598.0,6921196.0,-607.2860259797062
1,0.1110442232220521,0.7168107041889016,0.07610833173671949,0.7253608792530638,358599.0,6921196.0,-607.2816386709812
2,0.3407582849058599,0.7240633094716031,0.02206949362609123,0.8002398920667187,358600.0,6921197.0,-607.2847685561738
3,0.3892765982527635,0.7172944389003533,-0.051791676923187424,0.8161173825036544,358600.0,6921196.0,-607.2785543248276
4,0.19676646007610543,0.708796087101291,-0.11075654034279125,0.7356010691271341,358601.0,6921197.0,-607.28625169437
5,-0.13678255976628861,0.7130282844082103,-0.1208442101841456,0.7260294780670644,358602.0,6921197.0,-607.2794576998895
6,-0.40367250582676206,0.7326859152817633,-0.06624810450816199,0.836528626176494,358602.0,6921196.0,-607.2645218584987
7,-0.4259531532352412,0.7548473000861122,0.023181766301121343,0.8667355624400893,358603.0,6921196.0,-607.2603944009174
8,-0.18518247287374834,0.7606697036862897,0.08688553394016196,0.7828862921049419,358604.0,6921196.0,-607.2461653756106
9,0.15562019689696172,0.7409123066190659,0.09155881934240995,0.7570790525313945,358605.0,6921196.0,-607.2463242071756
10,0.3637451425584004,0.7044919122563442,0.05265590891191607,0.7928552094609909,358606.0,6921196.0,-607.2461906993642
11,0.3049239004349147,0.6734210476861335,0.0030405921049236895,0.7392391308116282,358606.0,6921196.0,-607.2405083402937
12,0.043032674457208486,0.6676021693783696,-0.02863323186168998,0.6689876438542384,358607.0,6921197.0,-607.2443526598308
13,-0.2091632519295672,0.6908758497320378,-0.02472498783994581,0.7218439621557534,358608.0,6921197.0,-607.2388625980259
14,-0.25491728867109487,0.7286633760850236,0.002170321765149197,0.7719670586955424,358608.0,6921196.0,-607.2283432693004
15,-0.06807375083099032,0.7583677121419896,0.015279364460099032,0.7614168519094356,358609.0,6921196.0,-607.223772214993
16,0.185408684506001,0.7646531555474212,-0.0029039718034340467,0.7868105417309014,358609.0,6921195.0,-607.2127027686424
17,0.2804078561530332,0.7482463561154873,-0.035622294373425234,0.7990626854211407,358610.0,6921196.0,-607.2138011870734
18,0.11744960901069135,0.7229177729914227,-0.0555751291631168,0.7323964207747348,358611.0,6921196.0,-607.2118869732967
19,-0.18842947440134594,0.7042985272619262,-0.03925409903580146,0.7290693261456592,358612.0,6921196.0,-607.2082972195115
20,-0.3906934415863361,0.6995122910939244,0.016771742531815903,0.8012233213593118,358612.0,6921196.0,-607.1981524799505
21,-0.30555535186067573,0.7048355592269218,0.07367470944075194,0.7682169215797247,358613.0,6921195.0,-607.186088128734
22,0.034054501475111465,0.7114646385161905,0.08061663337656455,0.7122791874887907,358614.0,6921195.0,-607.1820377516806
23,0.39080545857814286,0.7137342347232334,0.03224485723080761,0.813723211092342,358615.0,6921196.0,-607.1840596658062
24,0.4970477236793158,0.7130017914096243,-0.03744127146205756,0.8691536079244697,358615.0,6921195.0,-607.1785078936831
25,0.259099156942284,0.7148744403639284,-0.09367460278973283,0.7603800619518125,358616.0,6921196.0,-607.1818202595715
26,-0.16654506168379157,0.7231164107815857,-0.1020111629200926,0.7420475733488392,358617.0,6921196.0,-607.1802233343421
27,-0.48638400828167505,0.7356267101931735,-0.041101127323841524,0.8818821124514205,358617.0,6921196.0,-607.1712702015708
28,-0.4841931685905365,0.7454565461102902,0.05502536658752888,0.888902968072684,358618.0,6921195.0,-607.1544998918148
29,-0.1749418680810777,0.7457363416961016,0.11688071023620239,0.7659812977703712,358619.0,6921195.0,-607.1481200547255
30,0.21675627870990866,0.7344149696655222,0.11232005252480803,0.7657340478449274,358620.0,6921195.0,-607.1467355177917
31,0.430029135031873,0.715468046028036,0.05947862114531688,0.834757199348072,358621.0,6921196.0,-607.1476203571782
32,0.35373735585835675,0.696637395712969,-0.012395375389502306,0.7813026161708468,358621.0,6921196.0,-607.1479588521831
