Time,T1_Alpha_OT,T1_Distance,T1_Speed,T2_Alpha_OT,T2_Distance,T2_Speed,T3_Alpha_OT,T3_Distance,T3_Speed,T4_Alpha_OT,T4_Distance,T4_Speed,T5_Alpha_OT,T5_Distance,T5_Speed
118,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
119,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
120,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
121,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
122,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
123,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
124,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
125,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
126,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
127,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
128,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
129,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
130,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
131,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
132,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
133,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
134,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
135,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
136,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
137,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
138,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
139,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
140,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
141,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
142,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
143,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
144,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
145,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
146,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
147,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
148,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
149,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
150,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
151,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
152,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
153,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
154,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
155,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
156,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
157,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
158,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
159,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
160,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
161,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
162,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
163,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
164,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
165,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
166,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
167,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
168,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
169,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
170,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
171,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
172,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
173,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
174,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
175,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
176,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
177,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
178,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
179,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
180,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
181,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
182,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
183,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
184,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
185,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
186,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
